views,link_name,link,publ_time,topic
199,Прогноз погоды на 6 марта: дожди пройдут в южных областях Казахстана,https://informburo.kz/novosti/prognoz-pogody-na-6-marta-dozhdi-projdut-v-yuzhnyh-oblastyah-kazahstana,"5 марта 2023, 21:00",#назаметку
227,"Пассажирский поезд, потерпевший столкновение в Актюбинской области, продолжил движение",https://informburo.kz/novosti/passazhirskij-poezd-poterpevshij-stolknovenie-v-aktyubinskoj-oblasti-prodolzhil-dvizhenie,"5 марта 2023, 20:25",#официально
143,"""Города свободы"" и ""улья промышленности"". Что обещает Трамп американцам",https://informburo.kz/novosti/goroda-svobody-i-ulya-promyslennosti-cto-obeshhaet-tramp-amerikancam,"5 марта 2023, 19:30",#неонас
413,В Китае для повышения рождаемости предложили сократить рабочий день у молодёжи,https://informburo.kz/novosti/v-kitae-dlya-povysheniya-rozhdaemosti-predlozhili-sokratit-rabochij-den-u-molodyozhi,"5 марта 2023, 18:44",#неонас
80,Tesla отзовёт почти 3500 автомобилей из-за плохо закреплённых спинок сидений,https://informburo.kz/novosti/tesla-otzovyot-pochti-3500-avtomobilej-iz-za-ploho-zakreplyonnyh-spinok-sidenij,"5 марта 2023, 17:51",#кстати
369,Площадь ледяного покрова Антарктиды сократилась до рекордного уровня,https://informburo.kz/novosti/ploshad-ledyanogo-pokrova-antarktidy-sokratilas-do-rekordnogo-urovnya,"5 марта 2023, 17:01",#кстати
241,Полина Кудерметова победила в турнире BeeTV 40 Women's,https://informburo.kz/novosti/polina-kudermetova-pobedila-v-turnire-bee-tv-40-womens,"5 марта 2023, 16:07",#кстати
125,"Здоровье, образование, занятость: вице-премьер Алтай Кульгинов посетил Костанайскую область",https://informburo.kz/novosti/zdorove-obrazovanie-zanyatost-vice-premer-altaj-kulginov-posetil-kostanajskuyu-oblast,"5 марта 2023, 15:19",#фото
1608,"В Алматы арестовали застройщиков ЖК ""Ушконыр"" и ""Весновка""",https://informburo.kz/novosti/v-almaty-arestovali-zastrojshikov-zhk-ushkonyr-i-vesnovka,"5 марта 2023, 14:17",#официально
856,В Актюбинской области локомотив столкнулся с пассажирским поездом,https://informburo.kz/novosti/v-aktyubinskoi-oblasti-lokomotiv-stolknulsya-s-passazirskim-poezdom,"5 марта 2023, 13:40",#видео
425,"В Туркменистане салоны красоты возобновляют работу, но ботокс и силикон по-прежнему под запретом",https://informburo.kz/novosti/v-turkmenistane-salony-krasoty-vozobnovlyayut-rabotu-no-botoks-i-silikon-po-prezhnemu-pod-zapretom,"5 марта 2023, 13:28",#неонас
6496,Сколько стоит рубль в обменниках Казахстана 5 марта,https://informburo.kz/novosti/skolko-stoit-rubl-v-obmennikah-kazahstana-5-marta,"5 марта 2023, 12:37",#назаметку
1092,"Одна погибла, четверо в больнице. В Актюбинской области школьники катались на джипе и перевернулись",https://informburo.kz/novosti/odna-pogibla-cetvero-v-bolnice-v-aktyubinskoi-oblasti-skolniki-katalis-na-dzipe-i-perevernulis,"5 марта 2023, 11:43",#официально
1968,Шавкат Рахмонов выиграл супербой с Джеффом Нилом,https://informburo.kz/novosti/savkat-raxmonov-vyigral-superboi-s-dzeffom-nilom,"5 марта 2023, 10:38",#кстати
204,В Казахстане за сутки зарегистрировали 38 случаев заражения коронавирусом,https://informburo.kz/novosti/v-kazahstane-za-sutki-zaregistrirovali-38-sluchaev-zarazheniya-koronavirusom,"5 марта 2023, 10:26",#цифра
409,"Учения ""Коктем-2023"" в Алматы: 600 человек убрали 640 кубометров мусора и грязи",https://informburo.kz/novosti/ucheniya-koktem-2023-v-almaty-600-chelovek-ubrali-640-kubometrov-musora-i-gryazi,"5 марта 2023, 09:46",#фото
16758,Где можно посмотреть супербой Шавката Рахмонова в прямом эфире,https://informburo.kz/novosti/gde-mozhno-posmotret-superboj-shavkata-rahmonova-v-pryamom-efire,"5 марта 2023, 08:56",#фото
2543,Что проиcходит в Украине. Главное к утру 5 февраля,https://informburo.kz/novosti/cto-proicxodit-v-ukraine-glavnoe-k-utru-5-fevralya,"5 марта 2023, 08:33",#неонас
190,В Иркутске загорелся строящийся многоэтажный дом,https://informburo.kz/novosti/v-irkutske-zagorelsya-stroyashhiisya-mnogoetaznyi-dom,"5 марта 2023, 08:02",#видео
618,Колумбия депортирует 70 бегемотов Пабло Эскобара в Индию и Мексику,https://informburo.kz/novosti/kolumbiya-deportiruet-70-begemotov-pablo-eskobara-v-indiyu-i-meksiku,"5 марта 2023, 04:30",#неонас
