,views,link_name,link,topic,date,time
1,127938,Минимальная цена сигарет повысилась в Казахстане с 1 января,https://informburo.kz/novosti/minimalnaya-cena-sigaret-povysilas-v-kazaxstane-s-1-yanvarya,#назаметку,01/02/2023,08:40
2,96435,"Переход казахского языка на латиницу: учёные выбрали вариант алфавита, который может стать окончательным",https://informburo.kz/novosti/perexod-kazaxskogo-yazyka-na-latinicu-ucyonye-vybrali-variant-alfavita-kotoryi-mozet-stat-okoncatelnym,#важно,27/01/2023,17:23
3,71080,Льготное автокредитование: какие машины можно купить и сколько они стоят,https://informburo.kz/novosti/lgotnoe-avtokreditovanie-kakie-masiny-mozno-kupit-i-skolko-oni-stoyat,#назаметку,02/02/2023,20:48
4,62722,"Календарь праздничных дней на 2023 год: сохраните, чтобы не потерять",https://informburo.kz/novosti/kalendar-prazdnicnyx-dnei-na-2023-god-soxranite-ctoby-ne-poteryat,#назаметку,01/01/2023,18:47
5,55526,Подземную авиабазу для истребителей и бомбардировщиков построили в Иране,https://informburo.kz/novosti/podzemnuyu-aviabazu-dlya-istrebitelei-i-bombardirovshhikov-postroili-v-irane,#неонас,02/08/2023,04:30
6,49189,Казахстан и Узбекистан оказались на уровне африканских стран по доле расходов жителей на еду,https://informburo.kz/novosti/kazaxstan-i-uzbekistan-okazalis-na-urovne-afrikanskix-stran-po-dole-rasxodov-zitelei-na-edu,#цифра,02/02/2023,09:45
7,46721,"В Кыргызстане пятерых детских врачей водворили в СИЗО, ещё один под домашним арестом",https://informburo.kz/novosti/v-kyrgyzstane-pyateryx-detskix-vracei-vodvorili-v-sizo-eshhyo-odin-pod-domasnim-arestom,#неонас,01/01/2023,13:56
8,46529,"В аэропорту Стамбула задержали архитектора элитного жилого комплекса, рухнувшего при землетрясении",https://informburo.kz/novosti/v-aeroportu-stambula-zaderzali-arxitektora-elitnogo-zilogo-kompleksa-ruxnuvsego-pri-zemletryasenii,#неонас,02/11/2023,00:50
9,44201,Сколько стоит рубль в обменниках Казахстана 1 января,https://informburo.kz/novosti/skolko-stoit-rubl-v-obmennikax-kazaxstana-1-yanvarya,#назаметку,01/01/2023,11:53
10,43633,Казахстанскую авиакомпанию оштрафовали на 600 тысяч тенге из-за голодного пассажира,https://informburo.kz/novosti/kazaxstanskuyu-aviakompaniyu-ostrafovali-na-600-tysyac-tenge-iz-za-golodnogo-passazira,#кстати,15/01/2023,23:45
